Date,Open,High,Low,Close,Volume
2013-12-02,9.0,9.0,9.0,9.0,0.0
2013-12-03,9.0,9.0,9.0,9.0,0.0
2013-12-04,9.0,9.0,9.0,9.0,0.0
2013-12-05,9.0,9.0,9.0,9.0,0.0
2013-12-06,9.0,9.0,9.0,9.0,0.0
2013-12-09,9.0,9.0,9.0,9.0,0.0
2013-12-10,9.0,9.0,9.0,9.0,0.0
2013-12-11,9.0,9.0,9.0,9.0,0.0
2013-12-12,9.0,9.0,9.0,9.0,0.0
2013-12-13,9.0,9.0,9.0,9.0,0.0
2013-12-16,9.0,9.0,9.0,9.0,0.0
2013-12-17,9.0,9.0,9.0,9.0,0.0
2013-12-18,9.0,9.0,9.0,9.0,1.0
2013-12-19,9.0,9.0,9.0,9.0,0.0
2013-12-20,9.0,9.0,9.0,9.0,0.0
2013-12-23,9.0,9.0,9.0,9.0,0.0
2013-12-24,9.0,9.0,9.0,9.0,0.0
2013-12-26,9.0,9.0,9.0,9.0,0.0
2013-12-27,9.0,9.0,9.0,9.0,0.0
2013-12-30,9.0,9.0,9.0,9.0,0.0
2013-12-31,9.0,9.0,9.0,9.0,2.0
2014-01-01,9.0,9.0,9.0,9.0,0.0
2014-01-02,9.0,9.0,9.0,9.0,2.0
2014-01-03,9.0,9.0,9.0,9.0,0.0
2014-01-06,9.0,9.0,9.0,9.0,0.0
2014-01-07,9.0,9.0,9.0,9.0,0.0
2014-01-08,9.0,9.0,9.0,9.0,0.0
2014-01-09,9.0,9.0,9.0,9.0,0.0
2014-01-10,9.0,9.0,9.0,9.0,0.0
2014-01-13,9.0,9.0,9.0,9.0,0.0
2014-01-14,9.0,9.0,9.0,9.0,0.0
2014-01-15,9.0,9.0,9.0,9.0,0.0
2014-01-16,9.0,9.0,9.0,9.0,0.0
2014-01-17,9.0,9.0,9.0,9.0,0.0
2014-01-20,9.0,9.0,9.0,9.0,0.0
2014-01-21,9.0,9.0,9.0,9.0,0.0
2014-01-22,9.0,9.0,9.0,9.0,0.0
2014-01-23,9.0,9.0,9.0,9.0,0.0
2014-01-24,9.0,9.0,9.0,9.0,0.0
2014-01-27,9.0,9.0,9.0,9.0,0.0
2014-01-28,9.0,9.0,9.0,9.0,0.0
2014-01-29,9.0,9.0,9.0,9.0,0.0
2014-01-30,9.0,9.0,9.0,9.0,0.0
2014-01-31,9.0,9.0,9.0,9.0,0.0
2014-02-03,9.0,9.0,9.0,9.0,0.0
2014-02-04,9.0,9.0,9.0,9.0,0.0
2014-02-05,9.0,9.0,9.0,9.0,0.0
2014-02-06,9.25,9.25,9.25,9.25,4.0
2014-02-07,9.25,9.25,9.25,9.25,0.0
2014-02-10,9.25,9.25,9.25,9.25,4.0
2014-02-11,9.25,9.25,9.25,9.25,0.0
2014-02-12,9.25,9.25,9.25,9.25,0.0
2014-02-13,9.25,9.25,9.25,9.25,0.0
2014-02-14,9.25,9.25,9.25,9.25,0.0
2014-02-17,9.25,9.25,9.25,9.25,0.0
2014-02-18,9.0,9.0,9.0,9.0,1.0
2014-02-19,9.0,9.0,9.0,9.0,0.0
2014-02-20,9.0,9.0,9.0,9.0,0.0
2014-02-21,9.0,9.0,9.0,9.0,0.0
2014-02-24,9.0,9.0,9.0,9.0,0.0
2014-02-25,9.0,9.0,9.0,9.0,0.0
2014-02-26,9.0,9.0,9.0,9.0,0.0
2014-02-27,,,,,
2014-02-28,9.0,9.0,9.0,9.0,0.0
2014-03-03,9.0,9.0,9.0,9.0,0.0
2014-03-04,9.0,9.0,9.0,9.0,3.0
2014-03-05,9.0,9.0,9.0,9.0,0.0
2014-03-06,9.0,9.0,9.0,9.0,0.0
2014-03-07,8.5600004196167,8.5600004196167,8.5600004196167,8.5600004196167,1.0
2014-03-10,8.5600004196167,8.5600004196167,8.5600004196167,8.5600004196167,0.0
2014-03-11,8.5600004196167,8.5600004196167,8.5600004196167,8.5600004196167,0.0
2014-03-12,8.5600004196167,8.5600004196167,8.5600004196167,8.5600004196167,0.0
2014-03-13,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,2.0
2014-03-14,8.140000343322754,8.140000343322754,8.140000343322754,8.140000343322754,0.0
2014-03-17,,,,,
